,date,dew_point,max_temp,max_temp_flag,min_temp,min_temp_flag,precip,precip_flag,sea_level_pressure
0,1946-10-09,46.1,74.3,*,64.4,*,0.0,I,9999.9
1,1946-10-10,52.4,80.2,*,53.4,*,0.0,I,9999.9
2,1946-10-11,47.1,76.3,*,47.3,*,99.99, ,9999.9
3,1946-10-12,32.0,48.4,*,33.4,*,0.0,I,9999.9
4,1946-10-13,32.7,65.3,*,29.3,*,0.0,I,9999.9
5,1946-10-14,40.3,70.3,*,50.4,*,0.0,I,9999.9
6,1946-10-15,37.2,76.3,*,38.3,*,0.0,I,9999.9
7,1946-10-16,42.6,70.3,*,49.3,*,0.0,I,9999.9
8,1946-10-17,48.6,54.3,*,51.3,*,99.99, ,9999.9
9,1946-10-18,46.1,53.4,*,46.4,*,99.99, ,9999.9
10,1946-10-19,37.5,59.4,*,39.4,*,0.0,I,9999.9
11,1946-10-20,40.1,65.3,*,36.3,*,0.0,I,9999.9
12,1946-10-21,40.1,66.4,*,38.3,*,0.0,I,9999.9
13,1946-10-22,45.8,70.3,*,45.3,*,0.0,I,9999.9
14,1946-10-23,50.1,75.4,*,39.4,*,0.0,I,9999.9
15,1946-10-24,57.9,71.2,*,57.4,*,99.99, ,9999.9
16,1946-10-25,42.0,62.4,*,43.3,*,99.99, ,9999.9
17,1946-10-26,42.2,74.3,*,46.4,*,0.0,I,9999.9
18,1946-10-27,47.4,70.3,*,47.3,*,0.0,I,9999.9
19,1946-10-28,52.1,76.3,*,44.4,*,0.0,I,9999.9
20,1946-10-29,63.4,75.4,*,66.4,*,99.99, ,9999.9
21,1946-10-30,61.6,74.3,*,59.0,*,99.99, ,9999.9
22,1946-10-31,39.6,58.3,*,44.4,*,99.99, ,9999.9
23,1946-11-01,46.2,54.3,*,43.3,*,99.99, ,9999.9
24,1946-11-02,51.5,60.3,*,51.3,*,99.99, ,9999.9
25,1946-11-03,51.4,57.4,*,50.4,*,99.99, ,9999.9
26,1946-11-04,38.1,56.3,*,38.3,*,0.0,I,9999.9
27,1946-11-05,33.6,56.3,*,32.4,*,0.0,I,9999.9
28,1946-11-06,35.5,57.4,*,31.3,*,99.99, ,9999.9
29,1946-11-07,44.7,57.4,*,48.4,*,99.99, ,9999.9
30,1946-11-08,39.5,47.3,*,41.4,*,99.99, ,9999.9
31,1946-11-09,35.3,47.3,*,40.3,*,0.0,I,9999.9
32,1946-11-10,42.6,55.9,*,43.3,*,99.99, ,9999.9
33,1946-11-11,36.0,43.3,*,36.3,*,0.0,I,9999.9
34,1946-11-12,31.0,46.4,*,28.4,*,0.0,I,1029.8
35,1946-11-13,30.4,50.4,*,30.4,*,0.0,I,1024.7
36,1946-11-14,32.1,56.3,*,30.4,*,0.0,I,1020.4
37,1946-11-15,37.8,63.3,*,30.4,*,0.0,I,1018.8
38,1946-11-16,45.9,56.3,*,38.3,*,99.99, ,1014.7
39,1946-11-17,19.7,37.4,*,21.4,*,0.0,I,1033.8
40,1946-11-18,23.3,45.3,*,23.4,*,0.0,I,1036.8
41,1946-11-19,30.0,54.3,*,27.3,*,0.0,I,1026.0
42,1946-11-20,41.3,47.3,*,37.4,*,0.0,I,1021.8
43,1946-11-21,44.1,56.3,*,39.4,*,99.99, ,1015.2
44,1946-11-22,15.0,35.4,*,18.3,*,99.99, ,1020.7
45,1946-11-23,16.3,37.4,*,15.4,*,0.0,I,1024.7
46,1946-11-24,31.5,55.4,*,38.3,*,0.0,I,1005.3
47,1946-11-25,31.7,56.3,*,30.4,*,99.99, ,1013.1
48,1946-11-26,27.0,45.3,*,28.4,*,0.0,I,1018.4
49,1946-11-27,29.9,41.4,*,28.4,*,0.0,I,1022.0
