stationID,STATION NAME,LAT,LON,ELEV(M),BEGIN,END
722059-99999,BURLINGTON MUNI,42.683,-88.3,237.0,19450801,20051231
722075-99999,DE KALB TAYLOR MUNI,41.93,-88.71,279.0,19730101,20051231
722076-99999,VERMILION CO,40.199,-87.596,212.0,19730101,20051231
723489-3935,CAPE GIRARDEAU RGNL,37.225,-89.571,107.3,19730101,20100801
724230-93821,LOUISVILLE  INTL-STANDIFORD FIELD AP,38.181,-85.739,148.7,19730101,20200204
724235-13810,BOWMAN FIELD AIRPORT,38.228,-85.664,164.6,19411101,20200204
724237-99999,OWENSBORO DAVIESS C,37.733,-87.167,124.0,19730101,20051231
724240-13807,GODMAN AAF AIRPORT,37.9,-85.967,230.1,19450301,20200205
724320-93817,EVANSVILLE REGIONAL AIRPORT,38.044,-87.521,121.9,19730101,20200204
724330-99999,SALEM-LECKRONE,38.65,-88.967,174.0,19730101,20051231
724335-99999,MOUNT VERNON,38.317,-88.867,146.0,19730101,20051231
724336-99999,SOUTHERN ILLINOIS,37.767,-89.25,125.0,19730101,20051231
724338-13802,SCOTT AIR FORCE BASE/MIDAMERICA AIRPORT,38.55,-89.85,139.9,19380101,20200204
724340-13994,LAMBERT-ST LOUIS INTERNATIONAL AP,38.753,-90.374,161.9,19730101,20200204
724345-3966,SPIRIT OF ST LOUIS AIRPORT,38.657,-90.656,140.8,19730101,20200204
724350-3816,BARKLEY REGIONAL AIRPORT,37.056,-88.774,125.9,19890101,20200204
724361-13803,COLUMBUS BAKALAR,39.267,-85.9,199.9,19430501,19900206
724363-13803,COLUMBUS MUNICIPAL AIRPORT,39.267,-85.9,200.0,19900208,20200204
724370-93823,TERRE HAUTE HULMAN REGIONAL A,39.45,-87.3,175.3,19480101,19850531
724375-99999,MONROE CO,39.133,-86.617,258.0,19730101,20051231
724380-93819,INDIANAPOLIS INTERNATIONAL AIRPORT,39.725,-86.282,241.1,19421006,20200204
724386-14835,PURDUE UNIVERSITY AIRPORT,40.412,-86.937,182.6,19730101,20200204
724390-93822,ABRAHAM LINCOLN CAPITAL AIRPORT,39.845,-89.684,181.1,19730101,20200205
724395-99999,ST LOUIS RGNL,38.883,-90.033,166.0,19730101,20051231
724396-93989,QUINCY RGNL BALDWIN,39.937,-91.192,233.5,19730101,20100801
724400-13995,SPRINGFIELD-BRANSON REGIONAL AIRPORT,37.24,-93.39,384.7,19730101,20200204
724450-3945,COLUMBIA REGIONAL AIRPORT,38.817,-92.218,272.2,19730101,20200204
724455-14938,KIRKSVILLE REGIONAL ARPT,40.097,-92.543,294.4,19730101,20200204
724456-13997,ROLLA/VICHY AIRPORT,38.131,-91.768,346.6,19730101,20100801
724457-3938,WAYNESVILLE REGIONAL AIRPORT AT FORNEY FIELD,37.75,-92.15,353.3,19630320,20200204
724458-99999,JEFFERSON CITY MEM,38.583,-92.15,167.0,19731129,20051231
724467-13930,WHITEMAN AFB AIRPORT,38.717,-93.55,265.2,19421201,20200204
725300-94846,CHICAGO O'HARE INTERNATIONAL AIRPORT,41.96,-87.932,201.8,19461001,20200204
725305-99999,DUPAGE,41.908,-88.249,231.0,19730101,20051231
725310-14806,RANTOUL/CHANUTE AFB,40.3,-88.15,228.0,19360701,19710528
725315-99999,UNIV OF ILLINOIS WI,40.033,-88.267,230.0,19730101,20051231
725316-99999,DECATUR,39.833,-88.867,208.0,19730101,20051231
725317-99999,COLES CO MEM,39.483,-88.283,220.0,19730103,20051231
725320-14842,GREATER PEORIA REGIONAL AIRPORT,40.668,-89.684,198.1,19730101,20200204
725335-99999,GRISSOM ARB,40.65,-86.15,247.0,19450201,20051231
725340-14819,CHICAGO MIDWAY INTL ARPT,41.786,-87.752,186.5,19730101,20200204
725346-94866,CHICAGO/MEIGS,41.867,-87.6,181.0,19730101,20080618
725350-14848,SOUTH BEND REGIONAL AIRPORT,41.707,-86.316,235.6,19730101,20200204
725430-94822,GREATER ROCKFORD AIRPORT,42.193,-89.093,222.5,19730101,20200204
725440-14923,QUAD CITY INTERNATIONAL AIRPORT,41.465,-90.523,180.4,19730101,20200204
725450-14990,THE EASTERN IOWA AIRPORT,41.883,-91.717,264.6,19730101,20200204
725455-14931,SOUTHEAST IOWA RGNL,40.783,-91.125,214.0,19730101,20100731
725460-14933,DES MOINES INTERNATIONAL AIRPORT,41.534,-93.653,291.7,19730101,20200204
725465-14950,OTTUMWA INDUSTRIAL AIRPORT,41.108,-92.447,256.6,19730101,20200204
725466-99999,ANKENY REGIONAL ARP,41.683,-93.55,277.0,19730101,20051231
725470-94908,DUBUQUE REGIONAL AIRPORT,42.398,-90.704,321.9,19730101,20200204
725480-94910,WATERLOO MUNICIPAL AIRPORT,42.554,-92.401,264.6,19600301,20200204
725485-14940,MASON CITY MUNICIPAL ARPT,43.154,-93.327,373.4,19730101,20200204
725486-99999,BOONE MUNI,42.05,-93.85,354.0,19730101,20051231
726226-99999,LA CROSSE(WFO),43.817,-91.2,200.0,19420101,19800314
726350-94860,GERALD R FORD INTERNATIONAL AIRPORT,42.883,-85.524,244.8,19730101,20200204
